,Turkish,English
37101,puma,puma
37102,yolumda,on my way
37103,getirirdim,I would bring it
37104,yönetir,managing
37105,keserken,while cutting
37106,çıkaramam,I can't take it out
37107,ch000000,CH000000
37108,yazdıkları,written
37109,sunmaktan,from presenting
37110,dolabının,Your closet
37111,göründün,you appeared
37112,papele,Papele
37113,paşam,pasha
37114,gömdük,we buried
37115,varoş,suburb
37116,oğlanla,with the boy
37117,böğürtlen,Blackberry
37118,kusurları,flaws
37119,devraldı,He took over
37120,hatırlamazsın,you don't remember
37121,niyetinin,your intention
37122,rahatlar,relaxes
37123,fsp-1,FSP-1
37124,toranaga,Toranaga
37125,sessizliğin,your silence
37126,istedigin,you want
37127,yatırıp,deposit
37128,zola,zola
37129,aktar,transfer
37130,tanıyacağım,I will recognize
37131,gant,gant
37132,ekvator,equator
37133,sorduğuna,that you ask
37134,sersemler,dummy
37135,jenerik,generic
37136,girdiğine,you entered
37137,cadıları,witches
37138,twain,twain
37139,köftesi,meatballs
37140,through,through
37141,uyanmışsın,you woke up
37142,misket,marble
37143,hayatlarımıza,To our lives
37144,bedende,in the body
37145,görseniz,if you see
37146,bağnaz,bigoted
37147,arasak,if we call
37148,sevinmedin,you are not happy
37149,anahtara,to the key
37150,boşalmış,emptied
37151,diyemedim,I couldn't say
37152,dileklerimle,with my wishes
37153,görüntünün,The image
37154,nitelikte,in a nature
37155,veriyorsan,if you give
37156,galeride,in the gallery
37157,riverside,riverside
37158,stafford,Stafford
37159,desteğiniz,Your support
37160,alamıyorsun,you can't get it
37161,nelle,nelle
37162,çıkmamızı,to go out
37163,sağlayıp,to provide
37164,külüstür,ashturur
37165,içkiyle,with drink
37166,maude,maude
37167,çıt,fence
37168,avanak,simpleton
37169,eşleşen,maping
37170,anlıyorlar,they understand
37171,duyabiliyordum,I could hear
37172,kaplanlar,tigers
37173,dokunmuyor,does not touch
37174,savma,standoff
37175,çiftçinin,Farmer
37176,torbasını,Bag
37177,hikayelerin,your stories
37178,vuracaklar,they will hit
37179,yollayıp,sending and sending
37180,karşılaştınız,you encountered
37181,mckenna,mckenna
37182,lenf,lymph
37183,rövanş,revenge
37184,istemediniz,you did not want
37185,şöhretli,renowned
37186,şaşırtmadı,did not surprise
37187,basarak,pressing
37188,kasetini,cassette
37189,taciri,trader
37190,ağzınıza,in your mouth
37191,springer,springer
37192,yapabileceğinin,that you can do
37193,hissetmez,indispensable
37194,altısı,six
37195,dünyanı,your world
37196,lei,lei
37197,balonlar,balloons
37198,tobey,tobey
37199,toplanması,gathering
37200,önerdiler,they suggested
37201,hayalindeki,dreamy
37202,finalde,in the final
37203,kuyruğuna,to your tail
37204,buluşman,Meeting
37205,duymayan,unreachable
37206,yıldızının,Your star
37207,ameliyathaneyi,the operating room
37208,taneden,grain
37209,âşığım,I am in love
37210,sökmez,not disassembled
37211,makara,pulley
37212,dönüştüğü,transformed
37213,normalin,Normal
37214,kouga,kouga
37215,mikroplar,germs
37216,macdonald,Macdonald
37217,darp,beaten
37218,ailece,family
37219,kafatasında,in the skull
37220,imreniyorum,I envy
37221,koruyamaz,unable to protect
37222,öğrenmemeli,should not learn
37223,bildik,familiar
37224,hazırlıyorlar,they prepare
37225,bahsetmeyelim,let's not mention
37226,yuvasını,its nest
37227,görebilen,sighted
37228,kilometreden,mileage
37229,crixus,Crixus
37230,inanmadın,you did not believe
37231,almışlardı,they bought it
37232,düşünenler,those who think
37233,yanlarını,their sides
37234,istediyse,if he wanted
37235,mektuba,to the letter
37236,yaşımdaki,in my age
37237,yokuz,we are not
37238,sherwood,Sherwood
37239,iyileşmeye,recovery
37240,uygulamayı,application
37241,pryce,pryce
37242,verseydi,if he gave
37243,hansel,Hansel
37244,lisenin,high school
37245,berk,Berk
37246,bankacılık,banking
37247,coney,Coney
37248,zincirler,chains
37249,takipte,on follow -up
37250,tako,tako
37251,girecektir,will enter
37252,sınavından,from the exam
37253,oturamam,I can't sit down
37254,kojiro,kojiro
37255,mahşer,Armageddon
37256,geçirirler,they spend
37257,kızımıza,To our daughter
37258,futboldan,From football
37259,çizikler,scratches
37260,kaval,pipe
37261,şeyinin,your thing
37262,çağrısını,Call
37263,tebeşir,chalk
37264,iseniz,if you are
37265,çalındığı,stolen
37266,higgs,Higgs
37267,dolaşmayı,to walk around
37268,yıkadın,you washed
37269,holiday,holiday
37270,koruduğu,protected
37271,saksafon,saxophone
37272,maynard,maynard
37273,konseyin,Council
37274,yapabiliyorken,while doing
37275,poliçesi,policy
37276,memleket,homeland
37277,gelişir,develops
37278,komünizm,communism
37279,alevleri,flames
37280,hızlıyım,i am fast
37281,thierry,Thierry
37282,önereceğim,I will recommend
37283,yakaladığım,I caught
37284,ilerliyorum,I'm moving forward
37285,please,Please
37286,hafifletmek,alleviate
37287,çekimine,to shoot
37288,pelt,pelt
37289,kullanılmamış,unused
37290,simran,simran
37291,titizlikle,meticulously
37292,adreste,at the address
37293,enerjimi,my energy
37294,guatemala,goitemala
37295,sormayacaksın,you will not ask
37296,adliye,Courthouse
37297,müdürüyle,with the manager
37298,patatesler,potatoes
37299,düşünürdün,you would think
37300,kaldıracağız,we will remove
37301,köşesinden,from the corner
37302,pilates,pilates
37303,paylaşım,sharing
37304,çocukluğunu,your childhood
37305,kızmak,get angry with
37306,evlilikle,marriage
37307,vergilerini,their taxes
37308,adımızı,Our name
37309,sileceğim,I will delete
37310,ayım,my moon
37311,kulağımı,my ear
37312,yaşarmış,alive
37313,İşimden,From my job
37314,öldürttü,He killed
37315,utancı,shame
37316,suçladım,I blamed
37317,sevenler,lovers
37318,saklamam,I don't hide
37319,yakalamıştım,I caught
37320,topluyorsun,you are gathering
37321,hold,Hold
37322,uyandıracak,wake -up
37323,eksikliğini,lack
37324,düşünseydim,If I thought
37325,cheung,Cheung
37326,bulmadın,you did not find
37327,fakültesinden,from the faculty
37328,gidiyorsan,If you go
37329,dolandırıcılığı,fraud
37330,incelerken,While examining
37331,yakınlardaki,nearby
37332,teklifimiz,Our offer
37333,bronco,bronco
37334,yapılmıyor,not done
37335,kasete,cassette
37336,araştırdın,you researched
37337,bulabileceğimiz,we can find
37338,hükümetine,to the government
37339,cesetlerden,from bodies
37340,kayıtlardan,from records
37341,yaşayamayız,we cannot live
37342,donanımı,equipment
37343,busan,Busan
37344,boklar,shit
37345,yapıya,to the structure
37346,harçlık,allowance
37347,nikâh,wedding
37348,çeyiz,dowry
37349,işedi,pissed
37350,yokluğunu,your absence
37351,oynayamam,I can't play
37352,matematikçi,mathematician
37353,olacaksam,if I'm going to
37354,degildir,not
37355,gemime,to my ship
37356,sızma,infiltration
37357,hartley,hartley
37358,göremediğim,I can't see
37359,ödemelisin,you should pay
37360,pürüz,roughness
37361,sigaralar,cigarettes
37362,sinirler,nerves
37363,dersimiz,Our lesson
37364,dışını,outside
37365,constantine,Constantine
37366,başladığımı,that I started
37367,öpmeyi,kissing
37368,kayışı,apricot
37369,gönüllüyüm,I am volunteer
37370,eğittim,I educated
37371,eziğin,your loser
37372,ailemizde,in our family
37373,kitaplarına,To your books
37374,karınım,my wife
37375,clarissa,Clarissa
37376,fotoğrafımızı,Our photo
37377,şaşmamak,be surprised by
37378,atmıyorsun,you don't throw
37379,ekleyeceğim,I will add
37380,eteği,skirt
37381,şarabını,wine
37382,duval,folding
37383,ayakkabım,my shoe
37384,suçluya,to the criminal
37385,gelişinde,on arrival
37386,görüşümü,my opinion
37387,çatlağın,Your crack
37388,götümü,my ass
37389,berman,Berman
37390,geleneklere,traditions
37391,programlarını,programs
37392,topuna,to the ball
37393,yaratıklardan,From creatures
37394,ağlarım,I cry
37395,ineyim,let me go down
37396,çekmişler,they pulled
37397,sıkıcısın,you are boring
37398,oynamaz,non -play
37399,sıkıştırma,compression
37400,kodlar,codes
37401,getirirse,if it brings
37402,atmamız,we throw
37403,çıkmasından,from the output
37404,kafamız,Our heads
37405,çağırırız,we call
37406,yerleşik,settled
37407,ejderhanın,Dragon
37408,haddie,Haddie
37409,sonra-,Then-
37410,sınırların,your boundaries
37411,titriyordu,He was trembling
37412,konuşursunuz,you talk
37413,wolfgang,Wolfgang
37414,etiyopya,Ethiopia
37415,biriktirdim,I saved
37416,kiralayan,renter
37417,çekmeceye,To the drawer
37418,onunlayken,With him
37419,geçiremem,I can't pass
37420,sokması,sting
37421,etkiye,influence
37422,incir,fig
37423,kalanınız,your rest
37424,öldürecektin,you would kill
37425,konuşmada,in speech
37426,sağlamanın,providing
37427,kapatmadan,without closing
37428,kafi,sufficient
37429,gömleğim,my shirt
37430,jemma,jemma
37431,geçirirsem,If I spend
37432,cath,Cath
37433,bilinçaltı,subconscious
37434,kuşkum,my doubt
37435,ücretin,your fee
37436,karşılıyorum,I welcome
37437,lindy,Lindy
37438,yaşlılara,to the elderly
37439,tyra,Tyra
37440,guk,guk
37441,dağılabilirsiniz,You can disintegrate
37442,izleyemem,I can't watch
37443,özgeçmiş,resume
37444,ünvan,title
37445,basınçlı,compressed
37446,seçersin,you choose
37447,katından,from the floor
37448,kaynaklarına,resources
37449,tekrarlamak,repeat
37450,gelecekle,with the future
37451,ensest,incest
37452,şiirleri,poems
37453,korktukları,they are afraid of
37454,gazetelerden,from newspapers
37455,annika,Annika
37456,kapamak,close
37457,kalitede,in quality
37458,hissettik,we felt
37459,makyajını,makeup
37460,maud,maud
37461,olaydaki,in the event
37462,kepçe,ladle
37463,düzenliyoruz,we organize
37464,sage,sage
37465,çıkarsınız,you come out
37466,aferim,well done
37467,doldurma,filling
37468,yaptığımızdan,from what we did
37469,gözümle,with my eyes
37470,damarına,to the vein
37471,bağladık,we connected
37472,hakettin,you deserved it
37473,kurnazlık,cunning
37474,uyanırsa,if he wakes up
37475,yaştan,out of age
37476,dışarıdaydım,I was out side
37477,tipli,type
37478,rencide,offended
37479,paylaştı,shared
37480,eserin,Your work
37481,mangası,manga
37482,yararlanmak,benefit
37483,lak,lac
37484,ettiysen,if you have
37485,barınağı,shelter
37486,olmayabilirsin,You may not be
37487,popom,my buttom
37488,silin,shilling
37489,yetkimiz,Our authority
37490,sigortan,from the insurance
37491,dövüşeceğim,I will fight
37492,eminsiniz,you are sure
37493,cenazeyi,the funeral
37494,tümörün,Tumor
37495,ekipmanlar,equipment
37496,uyuyana,asleep
37497,kalbiyle,with heart
37498,gördüğümüzü,what we see
37499,çelimsiz,frail
37500,bridgette,Bridgette
37501,davranmasını,to behave
37502,sistemimizin,Our system
37503,oyuk,cavity
37504,balıklama,fishing
37505,arkadaşındı,was your friend
37506,dolapları,cabinets
37507,bizlerle,with us
37508,lütfeder,grace
37509,beğendiğine,that you like it
37510,testlere,Tests
37511,zaferini,your victory
37512,neredeydim,Where was I
37513,sinan,Sinan
37514,açarlar,they open
37515,havasına,to the air
37516,droid,droid
37517,ayrılmadım,I didn't leave
37518,seferden,from the expedition
37519,kuyunun,well
37520,arkadaşlarımızın,Our friends
37521,sapla,with a handle
37522,kontrolünden,from control
37523,cebindeki,in your pocket
37524,gevşet,relaxation
37525,kapadı,closed
37526,yalanla,lies
37527,biriminin,unit
37528,bıkmış,sick of
37529,kavramını,the concept
37530,tinker,tinker
37531,kanaldan,from the channel
37532,hayallere,to dreams
37533,ulaştığı,reached
37534,dinleneceğim,I will rest
37535,dünyamı,my world
37536,shao,shao
37537,pheebs,Pheebs
37538,seçimde,in the election
37539,kaçakları,fugitives
37540,nascar,nascar
37541,haritaları,maps
37542,adanmış,dedicated
37543,eun-chae,Eun-Chae
37544,sınırının,boundary
37545,kameram,my camera
37546,çalışmanızı,your work
37547,ufaklığın,your little one
37548,nasılda,how
37549,listesindeki,on the list
37550,çiçeklerini,Flowers
37551,maratonu,marathon
37552,sekizi,eight
37553,olamadık,we could not be
37554,ventura,ventura
37555,unutmanı,forgetting
37556,seol,seol
37557,buradaydılar,They were here
37558,İnterpol,Interpol
37559,bekârlığa,to celibacy
37560,görüşmeni,your interview
37561,göndereceğini,that you will send
37562,tanışalım,let's meet
37563,nezarete,to supervision
37564,uyuyacağız,we will sleep
37565,geziniyor,traveling
37566,neyseki,Fortunately
37567,garajdan,from the garage
37568,dükkânın,Your shop
37569,alırdınız,you would buy
37570,pompey,pompey
37571,dory,Dory
37572,redding,rejection
37573,izimi,my trace
37574,atlamayı,jump
37575,heykeller,sculptures
37576,amaçsızca,aimlessly
37577,buluncaya,to find
37578,sahibidir,owner
37579,adamlarımızdan,From our men
37580,tayım,my taste
37581,eyaletinde,in the state
37582,hakkındakileri,those about
37583,konstantin,Constantine
37584,denklem,equation
37585,gelseydin,If you came
37586,kutularını,your boxes
37587,hareketinin,your movement
37588,öleceği,die
37589,belirtmeliyim,I must specify
37590,sosyetik,socialite
37591,nakde,cash
37592,karıştın,you confused
37593,amcanı,your uncle
37594,yoruyor,tired
37595,saygımı,my respect
37596,yatıracağım,I will deposit
37597,çantasından,from the bag
37598,kuzenimi,my cousin
37599,kuruşunu,your penny
37600,duygularınızı,Your feelings
37601,randevumu,my appointment
37602,kaydediyoruz,we record
37603,dalgalarını,their waves
37604,marvel,marvel
37605,kararımızı,Our decision
37606,tarifine,to the description
37607,savaşmış,fought
37608,uzaklaştım,I got away
37609,anlatacağını,that you will tell
37610,düşünmemizi,to think
37611,file,net
37612,kurmaktan,from establishing
37613,sayısal,digital
37614,katılıyorsun,you agree
37615,gençliğimde,in my youth
37616,öldürülür,killed
37617,görüşmeniz,your interview
37618,kurtarırken,while saving
37619,aldığınızda,When you buy
37620,korkmayan,unprofitable
37621,öfkemi,my anger
37622,giymiyorsun,you don't wear
37623,bırakacaktım,I was going to quit
37624,susannah,Susannah
37625,sevemez,unable to love
37626,cüzdanın,your wallet
37627,hatırlarsanız,If you remember
37628,istemeyi,to ask for
37629,gömleğinin,Your shirt
37630,vuku,vuku
37631,doruk,peak
37632,taşındılar,they moved
37633,sorularla,with questions
37634,kullanabilecek,can use
37635,hayatini,your life
37636,sözlerinin,your words
37637,sevmezdim,I wouldn't like
37638,soyuldum,I was robbed
37639,aranmış,searched
37640,söylerlerdi,they would say
37641,kullanılamaz,unusable
37642,uyuyoruz,we sleep
37643,ciddiydi,it was serious
37644,stubbs,Stubbs
37645,duymasın,should not hear
37646,yakalamadan,without capture
37647,celbi,subpoena
37648,uğradığımı,that I have suffered
37649,çözmeliyiz,we must solve
37650,götüm,my ass
37651,gömün,bury
37652,kızlarımı,my daughters
37653,görevlendirildim,I was assigned
37654,dinlemeliydim,I had to listen
37655,tehlikedesin,you are in danger
37656,ailemizden,From our family
37657,profiline,to your profile
37658,narsist,narcissist
37659,bobbi,bobbi
37660,üzülürüm,I am sorry
37661,henrietta,Henrietta
37662,seeley,seley
37663,yeğenini,Your nephew
37664,anlayışına,to understanding
37665,öldürüyordum,I was killing
37666,uzmana,to expert
37667,haklisin,you're right
37668,hissetmelisin,you should feel
37669,süremez,unable to drive
37670,geçtiğin,you passed
37671,mozzie,mozzie
37672,yeneceğiz,we will beat
37673,ritüel,ritual
37674,ömrümü,my life
37675,aperatif,collation
37676,çörekleri,donuts
37677,made,Made
37678,ödemiyorum,I'm not paying
37679,konserden,from the concert
37680,dilerseniz,if you wish
37681,faka,faka
37682,aydınlatıcı,enlightening
37683,süratle,fast
37684,başkanıyla,president
37685,koşul,condition
37686,davasındaki,in the case of
37687,suçlulara,to criminals
37688,dolaşacağım,I will travel
37689,bizimde,in us
37690,ziyaretin,Your visit
37691,gözündeki,in the eyes
37692,iphone,iPhone
37693,filonun,Your fleet
37694,uyarınca,in accordance with
37695,koymanı,you put it
37696,lort,lort
37697,salinger,salinger
37698,öldürtmeye,to kill
37699,hoşlanmış,likely
37700,derslerin,Your lessons
37701,yardımcıları,assistants
37702,ezeceğim,I will crush
37703,tartışmayalım,Let's not argue
37704,bitkinin,The plant
37705,duştan,shower
37706,erişmek,reach
37707,şölen,feast
37708,eyaletinin,Your state
37709,dükkanındaki,in the shop
37710,lüzumsuz,unnecessary
37711,whitaker,whitker
37712,uçağının,your plane
37713,taşınmadan,without moving
37714,atmalıyım,I should throw
37715,gülümsemen,smile
37716,rotamızı,Our route
37717,oturması,sitting
37718,kızdırmaya,to anger
37719,yerdeydim,I was on the ground
37720,aletlerin,Your tools
37721,başlattığı,initiated
37722,daddy,daddy
37723,kadavra,cadaver
37724,birlikten,from unity
37725,kus,bird
37726,beat,Beat
37727,oyunların,your games
37728,sikin,Fuck
37729,kahramandı,He was a hero
37730,sondan,from the end
37731,paçavra,rag
37732,batıdaki,west
37733,babylon,Babylon
37734,temizleyeceğiz,we will clean
37735,sıçrayan,bouncing
37736,yalnızlıktan,from loneliness
37737,sıkıştırıp,squeezing
37738,karargah,headquarters
37739,yetişti,grew up
37740,müşterilerine,to customers
37741,hand,handle
37742,buick,buck
37743,gülümsemeyle,with a smile
37744,9c8b7c,9C8B7C
37745,kemerleri,belts
37746,yardımcılığı,assistant
37747,suçlamalardan,From the charges
37748,saygısızca,disrespectful
37749,güçlendirilmiş,reinforced
37750,azdırıyor,It makes you horny
37751,kampından,from the camp
37752,şoföre,to the driver
37753,kalamazsınız,You can't stay
37754,bağlandık,we are connected
37755,bağlandım,I am connected
37756,ezelden,eternal
37757,eğlendiniz,you have fun
37758,bırakırken,while leaving
37759,hastalarına,to patients
37760,nız,you
37761,valencia,Valencia
37762,çıkmayacaksın,you won't come out
37763,aldığımdan,From I bought
37764,geçirirdi,would pass
37765,diva,Diva
37766,diplomasi,diplomacy
37767,tia,tia
37768,tamamlanmamış,incomplete
37769,mutabakat,compassion
37770,dudaklarından,from your lips
37771,etkileşime,Interaction
37772,eyfel,Eiffel
37773,mutfağında,in the kitchen
37774,öylesindir,You are so
37775,garland,Garland
37776,saçmalıklarına,their nonsense
37777,sertifikası,certificate
37778,evindeymiş,at home
37779,çantayla,with a bag
37780,hissedeceğini,that you feel
37781,zorlayamazsın,you can't force
37782,kaplanın,Cap
37783,ettiğinizde,when you
37784,boyutlar,dimensions
37785,koştun,you ran
37786,kazığı,pile
37787,almadığı,he did not take
37788,sıkıysa,if tight
37789,jobs,Jobs
37790,biranın,beer
37791,oyuncağın,your toy
37792,givens,Givens
37793,lisanslı,licensed
37794,brandi,Brandi
37795,konuşacağımız,we will talk
37796,karışıp,mixing
37797,dim,dim
37798,katlanır,folding
37799,meşgulsünüz,You are busy
37800,kaçarsan,If you run away
37801,block,block
37802,sarma,winding
37803,parktan,from the park
37804,tavsiyeye,to advice
37805,araniyor,searching
37806,başarmışsın,you succeeded
37807,loca,hawse
37808,silahından,from the weapon
37809,yükün,your load
37810,bunch,bunch
37811,öğrenmedin,You did not learn
37812,tekerlekler,wheels
37813,düşmanının,Your enemy
37814,sürmesin,Don't let it drive
37815,sorunlarından,from the problems
37816,altımızda,under us
37817,doğrulayacak,confirmation
37818,kainatın,Your universe
37819,odandan,from the room
37820,tod,tod
37821,rudi,rudi
37822,öğretiyorsun,you teach
37823,blokta,in the block
37824,sakindi,He was calm
37825,özlüyoruz,we miss
37826,hermann,Hermann
37827,fikirle,with an idea
37828,kastetti,meantti
37829,şatosu,castle
37830,toparlayıp,gathering and gathering
37831,alıyordun,you were buying
37832,sevmen,love
37833,devil,devil
37834,verilmeyecek,will not be given
37835,yaylı,spring
37836,abartmış,exaggerated
37837,vuracağını,that you hit
37838,sürükleyerek,dragging
37839,üsten,upstairs
37840,meni,semen
37841,dünün,of yesterday
37842,durduramayız,we cannot stop
37843,mahkemesinde,in court
37844,yavruyu,puppy
37845,brunch,brunch
37846,emen,sucking
37847,bülent,Bülent
37848,söyleyemezsiniz,You can't say
37849,hatalarım,my mistakes
37850,veremediğim,I can't give
37851,öğrencilerle,with students
37852,ölçekli,scaled
37853,lorelei,lorelei
37854,atmana,atmana
37855,giymesi,wearing
37856,aşkımızı,Our love
37857,blanchard,Blanchard
37858,yanısıra,Besides the
37859,sahici,real
37860,harcayan,spent
37861,yılanları,snakes
37862,anlatmanın,describing
37863,tenin,your skin
37864,ortağınız,your partner
37865,düşüşte,in the fall
37866,gelişimini,development
37867,kalmadık,we didn't stay
37868,yemezler,they don't eat
37869,kanunların,laws
37870,söyleyecekleri,what to say
37871,huzurunu,your peace
37872,hissedebiliyordum,I could feel
37873,yanmaz,fireproof
37874,boğdu,drowned
37875,bıçağıyla,with a knife
37876,memelerin,Your breasts
37877,problemlerini,problems
37878,maskot,mascot
37879,scrooge,scrooge
37880,bırakmıştın,you left
37881,aylin,Aylin
37882,capitol,capitol
37883,içersinde,in
37884,rüzgarla,windy
37885,umuz,we hope
37886,kolaylık,ease
37887,boogie,boogie
37888,resepsiyonda,at reception
37889,hass,hassle
37890,ulaştırma,transportation
37891,benzediği,similar
37892,kaybetmesine,to lose
37893,samuels,Samuels
37894,donatılmış,equipped
37895,gitmekle,by going
37896,aynısın,you are the same
37897,yaşarsan,If you live
37898,tutuyormuş,he was holding
37899,gelemediğim,I can't come
37900,nadya,nadya
37901,sihrini,Sihrini
37902,çamaşırhane,laundry
37903,denizcilik,marine
37904,alacakmış,would take
37905,bahsedince,when you talk about
37906,yemeyin,don't eat
37907,kurtardılar,they saved
37908,sızdıran,leaky
37909,ct,CT
37910,muller,Muller
37911,taşıyacağız,we will carry
37912,fs26,FS26
37913,tanımadığımı,I don't know
37914,görünmem,I don't appear
37915,biletimiz,Our ticket
37916,nedenlerinden,from the reasons
37917,toledo,tledo
37918,hartmann,Hartmann
37919,kabullendim,I accepted
37920,battaniyeyi,the blanket
37921,sorunca,when you ask
37922,oyuncağını,toy
37923,kartta,on the card
37924,ağam,my net
37925,romanın,novel
37926,hamleni,your move
37927,dengi,equivalent
37928,alevi,Alevi
37929,İçimizde,Inside us
37930,kaderinin,Your destiny
37931,atmaca,hawk
37932,karayip,Caribbean
37933,algoritma,algorithm
37934,fuck,Fuck
37935,cüretkar,daring
37936,yapılsın,let it be done
37937,ayrıldığımızdan,Since we left
37938,belleği,memory
37939,resimlerde,In the pictures
37940,bindik,we got on
37941,oralı,there
37942,kıyısındaki,on the coastal
37943,çeviriyorsunuz,you are turning
37944,tapu,title deed
37945,resimlerden,from pictures
37946,kararıyla,by decision
37947,çıkarttık,we took it out
37948,davanı,Your case
37949,seferber,mobilized
37950,ayrıldığından,because he leaves
37951,besliyorum,I feed
37952,zaferle,victory
37953,faydaları,benefits
37954,davranırsın,you behave
37955,almayan,uninterrupted
37956,konuşturmak,make a talk
37957,dilediğiniz,whom you wish
37958,uğraşmış,talked
37959,kırıntısı,crumb
37960,eşe,spouse
37961,yaşamadığını,that you do not live
37962,amfetamin,amphetamine
37963,atandım,I was appointed
37964,öğrenmişsin,you learned
37965,bandını,Band
37966,kahvesini,coffee
37967,aydınlatma,lighting
37968,akçaağaç,maple
37969,anlayayım,let me understand
37970,alışmış,accustomed
37971,robotları,Robots
37972,twist,twist
37973,olmadınız,You didn't have
37974,kullanıyordun,you were using
37975,derisinden,from the skin
37976,suyundan,from water
37977,filin,elephant
37978,durduramadım,I couldn't stop
37979,rashid,rashid
37980,duyacaksınız,you will hear
37981,nedenlerim,my reasons
37982,sergey,exhibition
37983,İspanyollar,Spaniards
37984,force,force
37985,arkadasim,my friend
37986,dilekçesi,petition
37987,oyuncaklarını,toys
37988,durduğunda,When you stop
37989,çıkışına,to the exit
37990,müvekkilinizin,Your client
37991,sulama,irrigation
37992,patlamasını,explosion
37993,medeniyetler,civilizations
37994,amacımıza,To our goal
37995,gonzales,gonzales
37996,vermezsek,if we don't give
37997,akciğerleri,lungs
37998,arasana,Arasana
37999,maki,Maki
38000,sarhoştun,You got drunk
38001,plandı,plan
38002,konulmaz,irreparable
38003,mio,mio
38004,linc,lynch
38005,kırmayı,breaking
38006,taggart,taggart
38007,challenger,challenger
38008,ayaklarından,from your feet
38009,çayır,meadow
38010,yakalanacak,caught
38011,utandırma,embarrassment
38012,karikatür,cartoon
38013,öpme,kiss
38014,patlatacak,will explode
38015,yetimler,orphans
38016,lojistik,logistics
38017,başlarının,their heads
38018,anlatmalıyız,we should explain
38019,zavallıca,poorly
38020,sonuçlarının,results
38021,seviyorsundur,you love
38022,yazmalıyım,I should write
38023,esnaf,small business
38024,tutamazsınız,You can't hold
38025,yumağı,ball
38026,küçüktüm,I was little
38027,gazın,your gas
38028,apartmanı,apartment
38029,kişiydik,we were a person
38030,kovulmak,be fired
38031,indirecek,will download
38032,ölçekte,on scale
38033,olduklarının,that they are
38034,çıkarmaktan,from removing
38035,kralla,with the king
38036,nehrinin,River
38037,demedik,we didn't say
38038,içli,sensitive
38039,malhotra,Malhotra
38040,çıksana,get out
38041,kurtarsın,save it
38042,hatırlanacak,to be remembered
38043,vermişsiniz,you gave
38044,seviyesinin,level
38045,imzayı,signature
38046,şaşıracaksın,you will be surprised
38047,potansiyelini,potential
38048,gençsiniz,you are young
38049,bükücü,twister
38050,kurtulanlar,survivors
38051,kameralardan,from cameras
38052,derecesinde,at a degree
38053,ustabaşı,foreman
38054,maximus,maximus
38055,getireceksiniz,you will bring
38056,keşfedildi,Discovered
38057,ettirin,have it done
38058,değildirler,they are not
38059,evlendiğimiz,we got married
38060,mülteciler,refugees
38061,artemis,Artemis
38062,çatlamış,cracked
38063,kurbanlara,To the victims
38064,itirazın,Your objection
38065,sitede,on the site
38066,heyecanını,excitement
38067,kurtçuk,worm
38068,koparmış,broken
38069,öğrencilerden,from students
38070,shield,shield
38071,ölecektim,I was going to die
38072,aileleriyle,with their families
38073,tanırız,we know
38074,teşekküre,Thank you
38075,firari,fugitive
38076,nedeniniz,why
38077,yakalarsak,if we catch
38078,janus,Janus
38079,veriyorsa,if it gives
38080,bilgece,wisely
38081,erkeğini,your man
38082,çıldıracağım,I will go crazy
38083,sarsıldı,shaken
38084,kompleks,complex
38085,muhteşemdin,you were amazing
38086,yediye,seven
38087,birliğinde,in
38088,smitty,smitty
38089,canlandırıyor,revitalizes
38090,bırakana,released
38091,ayrılmışlar,they separated
38092,getirmeniz,you bring
38093,evlendiler,they are married
38094,değerlisin,you are precious
38095,sevkiyatı,shipment
38096,sıkarım,i squeeze
38097,sınıfımda,in my class
38098,kanıtlandı,proven
38099,üstüm,my top
38100,bozulmaya,disruption
38101,endişelenmemiz,our concern
38102,şakanın,Your joke
38103,kurumun,institution
38104,vajinal,vaginal
38105,etrafım,I am around
38106,çağırabilirim,I can call
38107,manyaklar,maniacs
38108,kapatmanı,closing
38109,ihtişamlı,sumptuous
38110,tecrübesiz,inexperienced
38111,çeçenistan,Chechnya
38112,güçleriyle,with forces
38113,kaskını,helmet
38114,üzer,over
38115,faruk,Faruk
38116,yerleştireceğim,I will place it
38117,kırıklar,fractures
38118,jip,jeep
38119,karaborsa,black market
38120,koştuğunu,that he's running
38121,vickie,Vickie
38122,kariyerinde,in your career
38123,torunları,grandchildren
38124,sokmadan,without stinging
38125,şarbon,anthrax
38126,haltsa,haltsa
38127,yemenin,eating
38128,davranmana,to act
38129,glasgow,Glasgow
38130,yapabildiğimiz,we can do
38131,dağlardan,from the mountains
38132,evlenirsen,If you get married
38133,soruşturmasında,in the investigation
38134,kovulursun,you get fired
38135,sarin,sarin
38136,arardım,I would call
38137,maymunların,Monkeys
38138,makbuzu,receipt
38139,yapılmayacak,not to be done
38140,space,space
38141,çapı,diameter of
38142,sharpe,sharpe
38143,kirlilik,pollution
38144,öpücükle,kissing
38145,kucakla,lap
38146,şovdan,from the show
38147,ferdi,individual
38148,pilotları,pilots
38149,suarez,suarez
38150,yarayacağından,because it will be useful
38151,içmedin,you didn't drink
38152,uzaylıları,aliens
38153,lamborghini,Lamborghini
38154,arttıkça,as you increase
38155,severide,in love
38156,fiji,fiji
38157,mirasın,your inheritance
38158,düştükten,from falling down
38159,tasarı,design
38160,anlamanızı,you understand
38161,amcaya,to your uncle
38162,göstermedin,you didn't show
38163,gideceksen,If you go
38164,geçmişler,past
